date,count
2021-02-19,15909
2021-02-20,12936
2021-02-21,11779
2021-02-22,11222
2021-02-23,13714
2021-02-24,12198
2021-02-25,13868
2021-02-26,12632
2021-02-27,10421
2021-02-28,9822
2021-03-01,9949
2021-03-02,10786
2021-03-03,12883
2021-03-04,13049
2021-03-05,11895
2021-03-06,11172
2021-03-07,11809
2021-03-08,7575
2021-03-09,11615
2021-03-10,12557
2021-03-11,10819
2021-03-12,10396
2021-03-13,11539
2021-03-14,8564
2021-03-15,7154
2021-03-16,12098
2021-03-17,11926
2021-03-18,11421
2021-03-19,12101
2021-03-20,11742
2021-03-21,9180
2021-03-22,8618
2021-03-26,10956
2021-03-27,11671
2021-03-23,10453
2021-03-24,11035
2021-03-25,11580
2021-03-28,9210
2021-03-29,6711
2021-03-30,11095
2021-04-11,8684
2021-04-12,7134
2021-04-13,6185
2021-04-14,5065
2021-04-15,4024
2021-04-16,4107
2021-04-17,6578
2021-04-20,8404
2021-04-18,6811
2021-04-21,12464
2021-04-23,12439
2021-04-24,16860
2021-04-22,15268
2021-04-25,13919
2021-04-26,13138
2021-04-27,13965
2021-04-28,14365
2021-04-29,23730
2021-03-31,9636
2021-04-02,11266
2021-04-01,10767
2021-04-03,9995
2021-04-04,9243
2021-04-05,8165
2021-04-06,7099
2021-04-07,9713
2021-04-08,12322
2021-04-09,9294
2021-04-10,10123
2021-04-19,8782
2021-04-30,27104
2021-05-01,25232
2021-05-02,23631
2021-05-03,18584
2021-05-04,22379
2021-05-05,26360
2021-05-06,27889
2021-05-07,22889
2021-05-08,25177
2021-05-09,23263
2021-05-10,23808
2021-05-11,26428
2021-05-12,26248
2021-05-13,26648
2021-05-14,24451
2021-05-15,22247
2021-05-16,27183
2021-05-17,26941
2021-05-18,25590
2021-05-19,25397
2021-05-20,25713
2021-05-21,25680
2021-05-22,22824
2021-05-23,22824
2021-05-24,17159
